dish_id,ingredient_id,qty,unit,optional,role
D031,I077,250,g,FALSE,main
D031,I079,300,ml,FALSE,main
D031,I102,2,EL,FALSE,main
D031,I023,1,Stück,TRUE,side
D031,I092,"0,5",Bund,TRUE,side
D032,I103,6,Stück,FALSE,main
D032,I002,100,ml,FALSE,main
D032,I054,40,g,TRUE,side
D032,I050,1,Zehe,TRUE,side
D032,I024,"0,5",Bund,TRUE,side
D033,I093,2,Stück,FALSE,main
D033,I097,200,g,FALSE,main
D033,I013,1,Stück,FALSE,main
D033,I098,50,g,TRUE,side
D033,I052,2,EL,TRUE,side
D034,I093,2,Stück,FALSE,main
D034,I062,400,ml,FALSE,main
D034,I104,100,g,FALSE,main
D034,I013,"0,5",Stück,TRUE,side
D034,I092,"0,5",Bund,TRUE,side
D035,I094,2,Scheiben,FALSE,main
D035,I093,1,Stück,FALSE,main
D035,I013,"0,5",Stück,TRUE,side
D035,I053,"0,5",TL,TRUE,side
D036,I094,2,Scheiben,FALSE,main
D036,I093,1,Stück,FALSE,main
D036,I105,1,Stück,FALSE,main
D036,I106,1,Handvoll,TRUE,side
D037,I094,2,Scheiben,FALSE,main
D037,I093,1,Stück,FALSE,main
D037,I097,100,g,FALSE,main
D037,I098,30,g,TRUE,side
D038,I104,200,g,FALSE,main
D038,I027,200,ml,FALSE,main
D038,I107,"0,25",TL,FALSE,main
D039,I108,100,g,FALSE,main
D039,I109,1,Stück,FALSE,main
D039,I110,100,g,FALSE,main
D039,I111,40,g,TRUE,side
D039,I112,20,g,TRUE,side
D040,I108,100,g,FALSE,main
D040,I109,1,Stück,FALSE,main
D040,I113,20,g,FALSE,main
D040,I110,100,g,TRUE,side
D041,I026,3,Stück,FALSE,main
D041,I111,80,g,FALSE,main
D041,I114,50,g,FALSE,main
D041,I004,40,g,TRUE,side
D041,I032,1,TL,TRUE,side
D042,I026,2,Stück,FALSE,main
D042,I115,2,Stück,FALSE,main
D042,I028,1,Stück,TRUE,side
D042,I004,2,EL,TRUE,side
D043,I116,6,Stück,FALSE,main
D043,I117,250,g,FALSE,main
D043,I118,100,g,FALSE,main
D043,I119,1,Stück,FALSE,main
D043,I037,80,g,TRUE,side
D043,I004,40,g,TRUE,side
D044,I089,700,g,FALSE,main
D044,I120,250,g,FALSE,main
D044,I030,150,ml,FALSE,main
D044,I114,40,g,TRUE,side
D045,I121,300,g,FALSE,main
D045,I046,1,Stück,FALSE,main
D045,I122,"0,5",Stück,TRUE,side
D045,I123,2,EL,FALSE,main
D045,I124,1,EL,TRUE,side
D045,I024,1,Bund,TRUE,side
D045,I081,2,Stück,TRUE,side
D046,I125,250,g,FALSE,main
D046,I126,400,g,FALSE,main
D046,I091,700,ml,FALSE,main
D046,I127,1,Stück,TRUE,side
D046,I039,100,g,TRUE,side
D046,I023,1,Stück,TRUE,side
D047,I026,5,Stück,FALSE,main
D047,I118,250,g,FALSE,main
D047,I114,150,g,FALSE,main
D047,I004,80,g,TRUE,side
D047,I032,1,TL,TRUE,side
D048,I026,2,Stück,FALSE,main
D048,I128,2,Stangen,FALSE,main
D048,I129,50,g,FALSE,main
D048,I104,150,g,TRUE,side
D048,I036,1,EL,TRUE,side
D049,I067,2,Stück,FALSE,main
D049,I130,60,g,FALSE,main
D049,I036,2,EL,FALSE,main
D049,I050,1,Zehe,TRUE,side
D049,I052,1,EL,TRUE,side
D049,I024,"0,5",Bund,TRUE,side
D050,I058,250,g,FALSE,main
D050,I085,150,g,FALSE,main
D050,I002,150,ml,FALSE,main
D050,I023,"0,5",Stück,TRUE,side
D050,I024,"0,5",Bund,TRUE,side
D051,I131,250,g,FALSE,main
D051,I027,300,ml,FALSE,main
D051,I095,150,g,FALSE,main
D052,I131,250,g,FALSE,main
D052,I027,300,ml,FALSE,main
D052,I132,200,g,FALSE,main
D052,I093,1,Stück,TRUE,side
D053,I133,250,g,FALSE,main
D053,I134,2,EL,FALSE,main
D053,I135,300,g,FALSE,main
D053,I078,100,g,TRUE,side
D053,I122,"0,5",Stück,TRUE,side
D053,I136,"0,5",Bund,TRUE,side
D053,I060,1,Stück,TRUE,side
D054,I137,800,g,FALSE,main
D054,I138,80,g,TRUE,side
D055,I139,800,g,FALSE,main
D055,I138,80,g,TRUE,side
D056,I140,4,Stück,FALSE,main
D056,I117,200,g,FALSE,main
D056,I014,"0,5",Bund,TRUE,side
D057,I140,4,Stück,FALSE,main
D057,I141,80,g,FALSE,main
D058,I142,1,Stück,FALSE,main
D058,I143,2,Stück,FALSE,main
D058,I040,125,g,FALSE,main
D058,I099,"0,5",Bund,TRUE,side
D059,I142,1,Stück,FALSE,main
D059,I144,4,Scheiben,FALSE,main
D059,I145,4,Scheiben,FALSE,main
D060,I146,400,g,FALSE,main
D060,I041,200,g,FALSE,main
D060,I023,1,Stück,TRUE,side
D060,I147,50,g,TRUE,side
D061,I148,400,g,FALSE,main
D061,I021,3,Stück,FALSE,main
D061,I147,100,g,FALSE,main
D061,I023,1,Stück,TRUE,side
D062,I148,400,g,FALSE,main
D062,I021,3,Stück,FALSE,main
D062,I046,1,Stück,TRUE,side
D062,I023,1,Stück,TRUE,side
D063,I149,500,g,FALSE,main
D063,I062,800,ml,FALSE,main
D063,I002,100,ml,TRUE,side
D063,I024,"0,5",Bund,TRUE,side
D064,I149,500,g,FALSE,main
D064,I062,800,ml,FALSE,main
D064,I079,150,ml,FALSE,main
D064,I092,"0,5",Bund,TRUE,side
D065,I148,500,g,FALSE,main
D065,I023,1,Stück,FALSE,main
D066,I148,500,g,FALSE,main
D066,I147,100,g,FALSE,main
D067,I020,300,g,FALSE,main
D067,I150,2,Stück,FALSE,main
D067,I151,2,Stück,TRUE,side
D067,I143,1,Stück,TRUE,side
D067,I145,2,Scheiben,TRUE,side
D068,I152,2,Stück,FALSE,main
D068,I150,2,Stück,FALSE,main
D068,I151,2,Stück,TRUE,side
D068,I143,1,Stück,TRUE,side
D068,I145,2,Scheiben,TRUE,side
D069,I153,4,Stück,FALSE,main
D069,I154,400,g,FALSE,main
D069,I084,2,EL,TRUE,side
D070,I153,2,Stück,FALSE,main
D070,I155,2,Stück,FALSE,main
D070,I084,2,EL,TRUE,side
D070,I156,2,EL,TRUE,side
D071,I142,1,Stück,FALSE,main
D071,I143,3,Stück,FALSE,main
D071,I099,"0,5",Bund,TRUE,side
D071,I052,2,EL,TRUE,side
D072,I142,1,Stück,FALSE,main
D072,I157,150,g,FALSE,main
D072,I050,1,Zehe,TRUE,side
D072,I024,"0,5",Bund,TRUE,side
D073,I045,400,g,FALSE,main
D073,I002,150,ml,FALSE,main
D073,I095,100,g,FALSE,main
D073,I023,1,Stück,TRUE,side
D074,I045,400,g,FALSE,main
D074,I083,150,ml,FALSE,main
D074,I158,100,g,FALSE,main
D074,I023,1,Stück,TRUE,side
D075,I159,300,g,FALSE,main
D075,I089,300,g,FALSE,main
D075,I160,1,Bund,FALSE,main
D075,I147,80,g,TRUE,side
D076,I161,300,g,FALSE,main
D076,I162,150,g,FALSE,main
D076,I046,1,Stück,TRUE,side
D076,I060,1,Stück,TRUE,side
D076,I092,"0,5",Bund,TRUE,side
D077,I111,80,g,FALSE,main
D077,I030,150,ml,FALSE,main
D077,I026,1,Stück,FALSE,main
D077,I104,100,g,TRUE,side
D077,I163,30,g,TRUE,side
D078,I111,80,g,FALSE,main
D078,I164,150,ml,FALSE,main
D078,I026,1,Stück,FALSE,main
D078,I165,100,g,TRUE,side
D078,I163,30,g,TRUE,side
D079,I118,300,g,FALSE,main
D079,I021,3,Stück,FALSE,main
D079,I030,200,ml,FALSE,main
D079,I114,100,g,FALSE,main
D079,I004,80,g,FALSE,main
D079,I166,50,g,TRUE,side
D080,I118,300,g,FALSE,main
D080,I021,3,Stück,FALSE,main
D080,I030,200,ml,FALSE,main
D080,I114,100,g,FALSE,main
D080,I002,200,ml,FALSE,main
D080,I004,80,g,FALSE,main
D081,I167,1,Rolle,FALSE,main
D081,I168,200,g,FALSE,main
D081,I169,150,g,FALSE,main
D081,I023,1,Stück,TRUE,side
D082,I167,1,Rolle,FALSE,main
D082,I026,2,Stück,FALSE,main
D082,I032,1,TL,TRUE,side
D082,I004,20,g,TRUE,side
D083,I167,1,Rolle,FALSE,main
D083,I041,100,g,FALSE,main
D083,I095,100,g,FALSE,main
D083,I170,50,g,TRUE,side
D084,I171,500,g,FALSE,main
D084,I118,250,g,FALSE,main
D084,I021,2,Stück,FALSE,main
D084,I004,80,g,FALSE,main
D084,I114,100,g,FALSE,main
D085,I026,4,Stück,FALSE,main
D085,I118,250,g,FALSE,main
D085,I021,2,Stück,FALSE,main
D085,I114,120,g,FALSE,main
D085,I004,80,g,FALSE,main
D085,I032,1,TL,TRUE,side
D086,I172,150,g,FALSE,main
D086,I143,2,Stück,TRUE,side
D086,I122,"0,5",Stück,TRUE,side
D086,I009,2,EL,TRUE,side
D086,I173,2,EL,TRUE,side
D087,I172,150,g,FALSE,main
D087,I077,200,g,FALSE,main
D087,I143,2,Stück,TRUE,side
D087,I122,"0,5",Stück,TRUE,side
D088,I174,300,g,FALSE,main
D088,I023,1,Stück,TRUE,side
D088,I009,2,EL,TRUE,side
D088,I173,2,EL,TRUE,side
D089,I174,300,g,FALSE,main
D089,I175,150,g,FALSE,main
D089,I023,1,Stück,TRUE,side
D090,I176,500,g,FALSE,main
D090,I160,1,Bund,FALSE,main
D090,I023,1,Stück,TRUE,side
D091,I177,4,Scheiben,FALSE,main
D091,I178,100,g,FALSE,main
D091,I179,100,g,FALSE,main
D091,I180,2,Stück,TRUE,side
D092,I177,4,Scheiben,FALSE,main
D092,I179,120,g,FALSE,main
D092,I143,1,Stück,TRUE,side
D092,I046,"0,5",Stück,TRUE,side
D093,I118,500,g,FALSE,main
D093,I181,1,Würfel,FALSE,main
D093,I027,250,ml,FALSE,main
D093,I114,50,g,TRUE,side
D094,I182,4,Stück,FALSE,main
D094,I095,80,g,FALSE,main
D094,I096,80,g,FALSE,main
D095,I183,200,g,FALSE,main
D095,I122,1,Stück,FALSE,main
D095,I143,2,Stück,FALSE,main
D095,I024,"0,5",Bund,TRUE,side
D095,I052,2,EL,TRUE,side
D096,I183,200,g,FALSE,main
D096,I169,150,g,FALSE,main
D096,I086,1,Stück,FALSE,main
