ingredient_id,name_canonical,unit_default,price_baseline_per_unit,allergen_tags,notes
I155,Brötchen,st,"2,3",,
I156,Ketchup,kg,"2,58",,
I157,Champignons,kg,"4,65",,
I158,vegane Käsealternative,kg,"7,27",,
I159,Weiße Bohnen (getrocknet oder Dose),kg,"2,25",,
I160,Suppengrün,kg,"3,98",,
I161,Schwarze Bohnen (getrocknet oder Dose),kg,"5,79",,
I162,Mais (Dose),kg,"3,47",,
I163,Nüsse (gehackt),kg,"14,9",,
I164,Hafermilch,l,"0,9",,
I165,Sojajoghurt,kg,"1,98",,
I166,Mandeln (gehobelt),kg,,,
I167,Blätterteig,kg,,,
I168,Spinat (TK),kg,,,
I169,Feta,kg,,,
I170,Salami,kg,,,
I171,Pflaumen,kg,,,
I172,Blattsalat,kg,,,
I173,Öl,kg,,,
I174,Grüne Bohnen,kg,,,
I175,Thunfisch (Dose),kg,,,
I176,Rinderknochen,kg,,,
I177,Brot,kg,,,
I178,Wurstaufschnitt,kg,,,
I179,Käseaufschnitt,kg,,,
I180,Essiggurken,st,,,
I181,Hefe,kg,,,?
I182,Brezeln,st,,,
I183,Bulgur,kg,,,
I184,Linsen (rot),kg,,,
I185,Linsen (braun oder grün),kg,,,
I186,Buttermilch,l,,,
I187,Blutwurst,st,,,
I188,Currypaste (grün),kg,,,
I189,Rindfleisch (Suppenfleisch),kg,,,
I190,Rinderbraten,kg,,,
I191,Rotwein,l,,,
I192,Möhren,st,,,
I193,Schweinebraten,kg,,,
I194,Basmati-Reis,kg,,,
I195,Kidneybohnen,,,,
I196,Chilipulver,,,,
I197,Schwarzer Pfeffer,,,,
I198,Bratwurst,,,,
I199,Currypulver,,,,
I200,Emmentaler,,,,
I201,Butterschmalz,,,,
I202,Römersalat,,,,
I203,Brot (für Croutons),,,,
I204,Worcestersauce,,,,
I205,Anchovis,,,,
I206,,,,,
I207,,,,,
I208,,,,,
I209,,,,,
I210,,,,,
I211,,,,,
I212,,,,,
I213,,,,,
I214,,,,,
I215,,,,,
I216,,,,,
I217,,,,,
I218,,,,,
I219,,,,,
