ingredient_id,name_canonical,unit_default,price_baseline_per_unit_rewe,price_baseline_per_unit_rewe_eigenmarke,allergen_tags,notes
I153,Bratwürste,st,7.02,,,
I154,Sauerkraut,kg,2.45,1.58,,
I155,Brötchen,st,2.3,,,
I156,Ketchup,kg,2.58,,,
I157,Champignons,kg,4.98,4.65,,eigenmarke = dose
I158,vegane Käsealternative,kg,7.27,,,
I159,Weiße Bohnen (getrocknet oder Dose),kg,2.25,,,
I160,Suppengrün,kg,3.98,,,
I161,Schwarze Bohnen (getrocknet oder Dose),kg,5.79,,,
I162,Mais (Dose),kg,4.37,3.47,,
I163,Nüsse (gehackt),kg,14.9,,,
I164,Hafermilch,l,0.9,,,
I165,Sojajoghurt,kg,1.98,,,
I166,Mandeln (gehobelt),kg,,,,
I167,Blätterteig,kg,,,,
I169,Feta,kg,11.45,0,,checken
I170,Salami,kg,,,,
I171,Pflaumen,kg,,,,
I173,Öl,kg,,,,
I174,Grüne Bohnen,kg,,,,
I175,Thunfisch (Dose),kg,,,,
I176,Rinderknochen,kg,,,,
I177,Brot,kg,,,,
I178,Wurstaufschnitt,kg,,,,
I181,Hefe,kg,,,,?
I182,Brezeln,st,,,,
I183,Bulgur,kg,,,,
I185,Tellerlinsen,kg,4.38,2.25,,Eigenmarke mit Suppengrün
I186,Buttermilch,l,,,,
I187,Blutwurst,st,,,,
I188,Currypaste (grün),kg,,,,
I189,Rindfleisch (Suppenfleisch),kg,,,,Beinscheibe
I190,Rinderbraten,kg,,,,
I191,Rotwein,l,,,,
I192,Möhren,kg,0.73,,,
I193,Schweinebraten,kg,,,,
I194,Basmati-Reis,kg,,,,
I195,Kidneybohnen,,,,,
I196,Chilipulver,,,,,
I197,Schwarzer Pfeffer,,,,,
I198,Bratwurst,,,,,
I199,Currypulver,kg,49.88,18.89,,
I200,Emmentaler (Stück),,,,,
I201,Butterschmalz,,,,,
I204,Worcestersauce,,,,,
I205,Anchovis,,,,,
I206,Dorade,,,,,
I207,Dinkel,,,,,
I208,Dorschfilet,,,,,
I209,Romana-Salat,,,,,
I210,Vanillesoße,,,,,zum anrühren
I211,Mayonnaise,,,,,
I212,Lauch (Porree),st,0.59,,,
I213,Tortilla-Wraps,,,,,
I214,Entenbrust,,,,,
I215,Kartoffelknödel,,,,,
I216,Mie Nudeln,,,,,Eiernudeln
I217,Fischstäbchen,,,,,
I218,Seelachsfilet,,,,,
I219,Fleischkäse,,,,,
I220,Farfalle,,,,,
I221,Lachsfilet,kg,39.98,21.96,,
I222,Fenchel,,,,,
I223,Flammkuchenteig,,,,,
I224,Schmand,,,,,
I225,Rinder Gulasch,,,,,
I226,Fusilli,kg,3.98,1.38,,
I227,Grünkohl,,,,,
I228,Bregenwurst,,,,,
I229,Lasagneplatten,kg,5.38,3.78,,
I230,Gnocchi,,,,,
I231,Hähnchen,,,,,ganz
I232,Pommes,kg,3.13,1.49,,
I233,Gyros (Schwein),,,,,tk
I234,Grieß,,,,,
I235,Kirschen,,,,,tk
I236,Suppennudeln,,,,,
I237,Hähnchenschenkel,,,,,
I238,Matjesfilet,,,,,
I239,Hirsch Gulasch,,,,,
I240,Schweine Steak,,,,,
I241,Käse (Gouda),kg,17.93,7.16,,
I242,Rinderrouladen,,,,,
I243,Parmaschinken,,,,,
I244,Kichererbsen (Dose),,,,,
I245,Schweineschnitzel,,,,,(tk günstiger)
I246,Chorizo,,,,,
I247,Jakobsmuscheln,,,,,
I248,Bandnudeln,,,,,
I249,Couscous,,,,,
I250,Sprotten,,,,,
I251,Ramen Nudeln,,,,,
I252,Schweinebauch,,,,,
I253,Lamm Hüfte,,,,,
I254,Fladenbrot,,,,,
I255,Käse (Emmentaler),,,,,gerieben
I256,Wiener Würstchen,,,,,gekühlt
I257,Kalbsschnitzel,,,,,
I258,Weißkohl,,,,,
I259,Kasseler,,,,,
I260,Hokkaido Kürbis,,,,,
I261,Hackfleisch (gemischt),,,,,
I262,Karpern,,,,,
I263,Apfelmus,,,,,
I264,Mettwurst,,,,,
I265,Schmelzkäse,,,,,
I266,Lamm Keule,,,,,
I267,Maultaschen,,,,,
I268,Milchreis,,,,,
I269,Apfelkompott,,,,,
I270,Schweinemett,,,,,
I271,Makkaroni,,,,,
I272,Mango,,,,,
I273,Ochsenschwanz,,,,,
I274,Kalbshaxe,,,,,
I275,Polenta,,,,,
I276,Camembert,,,,,
I277,Pizzateig,,,,,
I278,Putenrollbraten,,,,,
I279,Garnelen,,,,,tk
I280,Quicheteig,,,,,
I281,Quinoa,,,,,
I282,Bauchspeck,,,,,
I283,Geschnetzeltes (Schwein),,,,,
I284,Rosenkohl,,,,,
I285,Räucherlachs,,,,,
I286,Sushi Reis,,,,,
I287,Nori Blätter,,,,,
I288,Schupfnudeln,,,,,
I289,Tortellini,,,,,
I290,Tagliatelle,,,,,
I291,Taco Shells,,,,,
I292,Tintenfisch Ringe,,,,,
I293,Remoulade,,,,,
I294,Pideteig,,,,,
I295,Udon Nudeln,,,,,
I296,Spaghetti (Vollkorn),,,,,
I297,Käse (Cheddar),,,,,
I298,Reis (Vollkorn),,,,,
I299,Kartoffelwurst,,,,,
I300,Vollkornteig,,,,,
I301,Tortilla-Wraps (Vollkorn),,,,,
I302,Nudeln (Vollkorn),,,,,
I303,Wirsing,,,,,
I304,Fleischwurst (Lyoner),,,,,
I305,Falafel,,,,,
I306,Hackfleisch (Schwein),,,,,
I307,Sojadrink,,,,,
I308,Mandeln (gehackt),,,,,
I309,Stärke,,,,,
I310,XO-Sauce,,,,,
I311,Sardinen (Dose),,,,,
I312,Klebreis,,,,,
I313,Yams,,,,,
I314,Roastbeef (Stück),,,,,
I315,Zanderfilet,,,,,
I316,Zartweizen (Sonnenweizen),,,,,
